A [а] : amor,любовь
A [а] : casa,дом
A [а] : mañana,утро / завтра
A [а] : grande,большой
A [а] : bajo,низкий
B [б] : bueno,хороший
B [б] : bebé,младенец
B [б] : trabajo,работа
B [б] : blanco,белый
B [б] : barco,корабль
C [к]/[с] : casa,дом
C [к]/[с] : cinco,пять
C [к]/[с] : comer,есть (принимать пищу)
C [к]/[с] : ciudad,город
C [к]/[с] : clase,урок / класс
D [д] : día,день
D [д] : nada,ничего
D [д] : donde,где
D [д] : dedo,палец
D [д] : adiós,до свидания
E [э] : esperar,ждать
E [э] : tener,иметь
E [э] : leer,читать
E [э] : nene,ребёнок (разг.)
E [э] : bebé,младенец
F [ф] : familia,семья
F [ф] : foto,фото
F [ф] : fácil,лёгкий
F [ф] : fruta,фрукт
F [ф] : fuerte,сильный
G [г]/[х] : gato,кот
G [г]/[х] : gente,люди
G [г]/[х] : grande,большой
G [г]/[х] : guitarra,гитара
G [г]/[х] : lugar,место
H [—] : hola,привет
H [—] : hombre,мужчина
H [—] : hora,час
H [—] : hijo,сын
H [—] : hermano,брат
I [и] : isla,остров
I [и] : niño,ребёнок
I [и] : vino,вино
I [и] : limpiar,чистить
I [и] : mismo,тот же
J [х] : jugar,играть
J [х] : jamón,ветчина
J [х] : rojo,красный
J [х] : trabajo,работа
J [х] : joven,молодой
K [к] : kilo,килограмм
K [к] : karaoke,караоке
K [к] : kilómetro,километр
K [к] : kiosko,киоск
K [к] : kiwi,киви
L [л] : luz,свет
L [л] : libro,книга
L [л] : limpiar,чистить
L [л] : lento,медленный
L [л] : leer,читать
M [м] : mamá,мама
M [м] : mano,рука
M [м] : más,больше
M [м] : mismo,тот же
M [м] : mucho,много
N [н] : noche,ночь
N [н] : nada,ничего
N [н] : niño,ребёнок
N [н] : nuevo,новый
N [н] : número,номер
Ñ [нь] : niño,ребёнок
Ñ [нь] : señor,господин
Ñ [нь] : año,год
Ñ [нь] : bañar,купать
Ñ [нь] : mañana,утро / завтра
O [о] : oso,медведь
O [о] : ropa,одежда
O [о] : comer,есть
O [о] : otro,другой
O [о] : bonito,красивый
P [п] : papá,папа
P [п] : poco,мало
P [п] : pero,но
P [п] : pequeño,маленький
P [п] : piso,квартира / этаж
Q [к] : queso,сыр
Q [к] : quien,кто
Q [к] : qué,что
Q [к] : quitar,убрать
Q [к] : quiero,хочу
R [р] : pero,но
R [р] : rápido,быстро
R [р] : ropa,одежда
R [р] : caro,дорогой
R [р] : raro,странный
S [с] : sol,солнце
S [с] : sí,да
S [с] : persona,человек
S [с] : somos,мы есть
S [с] : casa,дом
T [т] : taza,чашка
T [т] : tarde,вечер
T [т] : todo,всё
T [т] : trabajo,работа
T [т] : tú,ты
U [у] : luna,луна
U [у] : uno,один
U [у] : mucho,много
U [у] : tú,ты
U [у] : escuchar,слушать
V [б] : vino,вино
V [б] : vaso,стакан
V [б] : vivir,жить
V [б] : ver,видеть
V [б] : vamos,пошли / давай
W [у] : whisky,виски
W [у] : wifi,вайфай
W [у] : waterpolo,водное поло
W [у] : windsurf,виндсёрфинг
W [у] : walkman,плеер
X [кс] : examen,экзамен
X [кс] : extra,дополнительный
X [кс] : México,Мексика
X [кс] : taxi,такси
X [кс] : texto,текст
Y [й]/[и] : yo,я
Y [й]/[и] : muy,очень
Y [й]/[и] : rey,король
Y [й]/[и] : hoy,сегодня
Y [й]/[и] : playa,пляж
Z [с] : zapato,ботинок
Z [с] : zona,зона
Z [с] : azul,синий
Z [с] : cabeza,голова
Z [с] : empezar,начинать
CH [ч] : chico,мальчик
CH [ч] : chocolate,шоколад
CH [ч] : mucho,много
CH [ч] : noche,ночь
CH [ч] : chica,девочка
LL [й] : llave,ключ
LL [й] : llamar,звать
LL [й] : calle,улица
LL [й] : ella,она
LL [й] : caballo,лошадь
RR [рр] : perro,собака
RR [рр] : carro,машина
RR [рр] : cerrar,закрыть
RR [рр] : corre,он бежит
RR [рр] : tierra,земля
GU [г] : guitarra,гитара
GU [г] : guerra,война
GU [г] : guapo,красивый
GU [г] : pingüino,пингвин
GU [г] : seguir,следовать
QU [к] : queso,сыр
QU [к] : quien,кто
QU [к] : quitar,убирать
QU [к] : quince,пятнадцать
QU [к] : quiero,хочу
